imdb_id,popularity,budget,revenue,original_title,cast,director,keywords,runtime,genres,production_companies,release_date,vote_count,vote_average,budget_adj,revenue_adj,vote_avg
tt0369610,32.985763,150000000,1513528810,Jurassic World,Chris Pratt:19075 points|Bryce Dallas Howard:11835 points|Irrfan Khan:8633 points|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,monster|dna|tyrannosaurus rex|velociraptor|island,124,Action|Adventure|Science Fiction|Thriller,|Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu|,6/9/15,5562,6.5,158849998,1602826991,7.0
tt1392190,28.419936,150000000,378436354,Mad Max: Fury Road,Tom Hardy:64287 points|Charlize Theron:16177 points|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller:3021 points,future|chase|post-apocalyptic|dystopia|australia,120,Action|Adventure|Science Fiction|Thriller,|Village Roadshow Pictures|Kennedy Miller Productions|,5/13/15,6185,7.1,158849998,400764094,8.1
tt2908446,13.112507,110000000,295238201,Insurgent,Shailene Woodley:4743 points|Theo James|Kate Winslet:43103 points|Ansel Elgort|Miles Teller:10978 points,Robert Schwentke:2650 points,based on novel|revolution|dystopia|sequel|dystopic future,119,Adventure|Science Fiction|Thriller,|Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel|,3/18/15,2480,6.3,116489999,312657251,6.2
tt2488496,11.173104,200000000,2068178225,Star Wars: The Force Awakens,Harrison Ford:70521 points|Mark Hamill:31054 points|Carrie Fisher:34017 points|Adam Driver:2967 points|Daisy Ridley,J.J. Abrams:8034 points,android|spaceship|jedi|space opera|3d,136,Action|Adventure|Science Fiction|Fantasy,|Lucasfilm|Truenorth Productions|Bad Robot|,12/15/15,5292,7.5,211799997,2190200714,8.0
tt2820852,9.335014,190000000,1506249360,Furious 7,Vin Diesel:15124 points|Paul Walker|Jason Statham:20893 points|Michelle Rodriguez|Dwayne Johnson,James Wan:6578 points,car race|speed|revenge|suspense|car,137,Action|Crime|Thriller,|Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films|,4/1/15,2947,7.3,201209998,1595118053,7.2
tt1663202,9.1107,135000000,532950503,The Revenant,Leonardo DiCaprio:147067 points|Tom Hardy:64287 points|Will Poulter|Domhnall Gleeson:23035 points|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,father-son relationship|rape|based on novel|mountains|winter,156,Western|Drama|Adventure|Thriller,|Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures|,12/25/15,3929,7.2,142964998,564394576,8.0
tt1340138,8.654359,155000000,440603537,Terminator Genisys,Arnold Schwarzenegger:7180 points|Jason Clarke:15951 points|Emilia Clarke|Jai Courtney|J.K. Simmons:24628 points,Alan Taylor,saving the world|artificial intelligence|cyborg|killer robot|future,125,Science Fiction|Action|Thriller|Adventure,|Paramount Pictures|Skydance Productions|,6/23/15,2598,5.8,164144998,466599140,6.5
tt3659388,7.6674,108000000,595380321,The Martian,Matt Damon:113210 points|Jessica Chastain:44880 points|Kristen Wiig:23641 points|Jeff Daniels:19561 points|Michael PeÃ±a,Ridley Scott:51460 points,based on novel|mars|nasa|isolation|botanist,141,Drama|Adventure|Science Fiction,|Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment|,9/30/15,4572,7.6,114371999,630507752,8.0
tt2293640,7.40416499999999,74000000,1156730962,Minions,Sandra Bullock:32204 points|Jon Hamm|Michael Keaton:23722 points|Allison Janney:17120 points|Steve Coogan:4601 points,Kyle Balda|Pierre Coffin,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,91,Family|Animation|Adventure|Comedy,|Universal Pictures|Illumination Entertainment|,6/17/15,2893,6.5,78365999,1224978074,6.4
tt2096673,6.326804,175000000,853708609,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Pete Docter,dream|cartoon|imaginary friend|animation|kid,94,Comedy|Animation|Family,|Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures|,6/9/15,3935,8.0,185324998,904077406,8.2
tt2379713,6.200282,245000000,880674609,Spectre,Daniel Craig:35135 points|Christoph Waltz:45674 points|LÃ©a Seydoux|Ralph Fiennes:71619 points|Monica Bellucci:13960 points,Sam Mendes:40712 points,spy|based on novel|secret agent|sequel|james bond,148,Action|Adventure|Crime,|Columbia Pictures|Danjaq|B24|,10/26/15,3254,6.2,259454997,932634400,6.8
tt1617661,6.189369,176000003,183987723,Jupiter Ascending,Mila Kunis:12167 points|Channing Tatum:10383 points|Sean Bean|Eddie Redmayne:13037 points|Douglas Booth,Lana Wachowski|Lilly Wachowski,jupiter|space|woman director|3d|interspecies romance,124,Science Fiction|Fantasy|Action|Adventure,|Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.|,2/4/15,1937,5.2,186384001,194842996,5.3
tt0470752,6.118847,15000000,36869414,Ex Machina,Domhnall Gleeson:23035 points|Alicia Vikander:6878 points|Oscar Isaac:15231 points|Sonoya Mizuno|Corey Johnson,Alex Garland:5722 points,dancing|artificial intelligence|helicopter|distrust|isolation,108,Drama|Science Fiction,|DNA Films|Universal Pictures International (UPI)|Film4|,1/21/15,2854,7.6,15885000,39044709,7.7
tt2120120,5.984995,88000000,243637091,Pixels,Adam Sandler:1282 points|Michelle Monaghan:20474 points|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus:22925 points,video game|nerd|alien attack|3d|pixels,105,Action|Comedy|Science Fiction,|Columbia Pictures|Happy Madison Productions|,7/16/15,1575,5.8,93191999,258011676,5.6
tt2395427,5.944927,280000000,1405035767,Avengers: Age of Ultron,Robert Downey Jr.:35527 points|Chris Hemsworth:8028 points|Mark Ruffalo:60052 points|Chris Evans:4690 points|Scarlett Johansson:45683 points,Joss Whedon:4151 points,marvel comic|comic|sequel|superhero|vision,141,Action|Adventure|Science Fiction,|Marvel Studios|Prime Focus|Revolution Sun Studios|,4/22/15,4304,7.4,296519996,1487932859,7.4
