budget,title,cast,director,keywords,runtime,genres,production_companies,actual_revenue,actual_imdb_rating
110000000,Venom,Tom Hardy|Michelle Williams|Riz Ahmed,Ruben Fleischer,Holder,112,Action|Science Fiction,Marvel Studios|Avi Arad|Columbia Pictures,780176808,7
10000000,Halloween,Jamie Lee Curtis|Judy Greer|Andi Matichak,David Gordon Green,Halloween,106,Horror|Thriller,Blumhouse Productions|Miramax|Trancas International Films,251145295,7.1
178000000,Mission: Impossible - Fallout,Tom Cruise|Henry Cavill|Ving Rhames|Simon Pegg|Rebecca Ferguson|Sean Harris|Angela Bassett|Vanessa Kirby|Michelle Monaghan|Alec Baldwin,Christopher McQuarrie,violence|spy|ethan hunt|action hero,167,Action|Thriller|Adventure,Paramount Pictures|Skydance Media|TC Productions|Alibaba Pictures,791017452,7.9
110000000,Deadpool 2,Ryan Reynolds|Josh Brolin|Morena Baccarin|Julian Dennison|Zazie Beetz|T.J. Miller|Leslie Uggams|Karan Soni|Brianna Hildebrand|Eddie Marsan,David Leitch,showdown|battle|superhero,119,Action|Adventure|Comedy|Fantasy|Sci-Fi,Donners' Company|Kinberg Genre|Marvel Entertainment|Maximum Effort|TSG Entertainment|Twentieth Century Fox,734245921,7.8
20000000,A Quite Place,Emily Blunt|John Krasinki|Millicent Simmonds|Noah Jupe,John Krasinki,silence|monster|deafness|alien invasion|family,90,Drama|Horror|MysteryThriller,Platinum Dunes|Sunday Night,340677199,7.6
3500000,Call Me By Your Name,Armie Hammer|Timothee chalamet|Michael Stuhlbarg|Amira Casar|Esther Garrel,Luca Guadagnino,gay romance|american abroad|first love|playing piano,132,Drama|Romance,Frenesy Film Company|La Cinefacture|RT Features|Water's End Productions|M.Y.R.A Entertainment|Lombardia Film Commission,41887595,8
100000,A Ghost Story,Casey Affleck|Rooney Mara|McColm Cephas Jr.|Kenneisha Thompson|Grover Coulson|Liz Cardenas|Barlow Jacobs,David Lowery,death of husband|fear|loss,92,Drama|Fantasy|Romance,Sailor Bear|Zero Trans Fat Productions|Ideaman Studios,1596371,6.8
4500000,Get Out,Daniel Kaluuya|Allison Williams|Catherine Keener|Bradley Whitford|Caleb Landry Jones|Marcus Henderson|Betty Gabriel|Lakeith Stanfield|Lil Rel Howery|John Wilmot,Jordan Peele,hypnosis|neurosurgeon|female villain|racism|body switching,104,Horror|Mystery|Thriller,Universal Pictures|Blumhouse Productions|QC Entertainment|Monkeypaw Productions|Dentsu|Fuji Television Network,255368134,7.7
13500000,Three Billboards Outside Ebbing Missouri,Frances McDormand|Caleb Landry Jones|Kerry Condon|Sam Rockwell|Alejandro Barrios|Darrel Britt-Gibson|Woody Harrelson|Abbie Cornish|Zeljko Ivanek,Martin McDonagh,polic brutality|billboard|small town|black comedy|anger|racist cop,115,Comedy|Crime|Drama,Blueprint Pictures|Film 4|Fox Searchlight Pictures,159210164,8.2
20000000,Girls Trip,Regina Hall|Queen Latifah|Jada Pinkett Smith|Tiffany Haddish|Larenz Tate|Mike Colter|Kate Walsh|Kofi Siriboe|Lara Grice|Deborah Ayorinde,Malcolm d. Lee,nudity|drinking|bare butt,122,Comedy|Drama,Perfect World Pictures|Universal Pictures|Will Packer Productions,140376621,6.2
180000000,Fantastic Beasts and Where to Find Them,Eddie Redmayne|Katherine Waterston|Ezra Miller|Johnny Depp|Dan Fogler|Alison Sudol|Colin Farrell,David Yates,suitcase|magic|based on novel|urban fantasy|new york city|wizard|magical creature|year 1926|sorcery|orphanage,133,Adventure|Family|Fantasy,Warner Bros.|Heyday Films,814037575,7.3
90000000,Now You See Me 2,Jesse Elsenberg|Mark Ruffalo|Woody Harrelson|Dave Franco|Daniel Radcliffe|Jay Chou|Sanaa Lathan|Micheal Caine|Morgan Freeman,Jon M. Chu,ambigram|magic|confusion,129,Action|Adventure|Comedy|Crime,K/O Paper Products|Summit Entertainment|TIK Film,334901337,6.5
125000000,The Mummy(2017),Tom Cruise|Sofia Boutella|Annabelle Wallis|Russell Crowe|Jake Johnson,Jordan Vogt-Roberts,princess|tomb|egypt,110,Action|Adventure|Fantasy,Universal Pictures|Dark Universe,410333326,5.5
149000000,Wonder Woman,Gal Gadot|Chris Pine|Robin Wright|Connie Nielsen,Patty Jenkins,Wonder,141,Action|Adventure|Fantasy,DC Comics|Warner Bros.,821763408,7.5
200000000,Black Panther,Chadwick Boseman|Michael B. Jordan|Lupita Nyong'o|Danai Gurira|Daniel Kaluuya,Ryan Coogler,Panther,134,Action|Adventure|Sci-Fi,Marvel Studios,1347071259,7.4
